tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
11,80.55,886.05,Month-to-month,Bank transfer (automatic),0
20,90.71,1814.2,One year,Credit card (automatic),1
23,64.89,1492.47,Month-to-month,Electronic check,1
72,97.97,7053.84,Two year,Electronic check,0
9,20.55,184.95,Month-to-month,Bank transfer (automatic),0
13,65.66,853.58,Month-to-month,Credit card (automatic),1
16,27.0,432.0,One year,Mailed check,1
24,39.21,941.04,Month-to-month,Electronic check,1
22,22.74,500.28,Month-to-month,Electronic check,0
17,58.64,996.88,One year,Credit card (automatic),0
23,44.87,1032.01,Month-to-month,Bank transfer (automatic),1
65,85.04,5527.6,Two year,Credit card (automatic),0
6,106.22,637.32,Month-to-month,Electronic check,1
20,87.72,1754.4,Month-to-month,Credit card (automatic),0
12,44.54,534.48,One year,Credit card (automatic),1
28,24.11,675.08,Two year,Bank transfer (automatic),0
21,54.89,1152.69,Month-to-month,Credit card (automatic),1
19,69.19,1314.61,Month-to-month,Bank transfer (automatic),0
2,26.85,53.7,Month-to-month,Electronic check,1
71,116.09,8242.39,Two year,Mailed check,0
9,92.48,832.32,Month-to-month,Mailed check,1
20,95.94,1918.8,Month-to-month,Electronic check,1
23,65.08,1496.84,Month-to-month,Electronic check,1
12,73.85,886.2,Month-to-month,Bank transfer (automatic),1
23,31.58,726.34,One year,Bank transfer (automatic),0
25,71.73,1793.25,Two year,Bank transfer (automatic),0
7,88.55,619.85,Month-to-month,Electronic check,1
15,61.13,916.95,Month-to-month,Bank transfer (automatic),1
15,87.4,1311.0,Month-to-month,Electronic check,1
2,43.84,87.68,Month-to-month,Credit card (automatic),1
12,56.36,676.32,Month-to-month,Electronic check,1
6,74.28,445.68,Month-to-month,Credit card (automatic),0
16,52.64,842.24,Month-to-month,Bank transfer (automatic),1
4,18.27,73.08,Month-to-month,Electronic check,1
23,107.12,2463.76,Month-to-month,Electronic check,1
19,83.8,1592.2,One year,Credit card (automatic),0
71,87.56,6216.76,Two year,Mailed check,0
15,66.86,1002.9,Month-to-month,Electronic check,1
11,25.79,283.69,Month-to-month,Electronic check,1
11,37.95,417.45,Month-to-month,Mailed check,0
58,101.1,5863.8,Two year,Bank transfer (automatic),0
58,55.2,3201.6,Two year,Credit card (automatic),0
10,53.06,530.6,Month-to-month,Bank transfer (automatic),0
20,48.97,979.4,One year,Credit card (automatic),0
34,117.05,3979.7,Two year,Electronic check,0
16,103.63,1658.08,Month-to-month,Mailed check,0
24,81.33,1951.92,Month-to-month,Mailed check,1
18,40.47,728.46,Month-to-month,Credit card (automatic),0
69,96.07,6628.83,Two year,Electronic check,0
28,101.55,2843.4,Two year,Credit card (automatic),0
19,118.17,2245.23,Month-to-month,Electronic check,1
62,107.38,6657.56,Two year,Electronic check,0
24,104.39,2505.36,One year,Electronic check,0
13,70.53,916.89,One year,Electronic check,1
29,48.16,1396.64,Two year,Electronic check,0
20,54.35,1087.0,Month-to-month,Electronic check,1
7,21.98,153.86,Month-to-month,Electronic check,1
14,72.35,1012.9,Month-to-month,Electronic check,1
23,59.54,1369.42,Month-to-month,Electronic check,1
10,64.58,645.8,Month-to-month,Bank transfer (automatic),0
24,49.15,1179.6,One year,Electronic check,0
23,117.32,2698.36,Month-to-month,Credit card (automatic),1
19,105.48,2004.12,Month-to-month,Mailed check,1
9,87.81,790.29,Month-to-month,Electronic check,0
25,60.77,1519.25,Two year,Credit card (automatic),0
22,56.81,1249.82,One year,Mailed check,0
22,92.12,2026.64,Month-to-month,Credit card (automatic),0
23,30.6,703.8,Month-to-month,Electronic check,1
4,33.5,134.0,Month-to-month,Mailed check,1
64,59.02,3777.28,Two year,Mailed check,0
24,56.91,1365.84,Month-to-month,Bank transfer (automatic),1
15,76.44,1146.6,Month-to-month,Bank transfer (automatic),0
11,76.01,836.11,Month-to-month,Electronic check,1
64,53.87,3447.68,Two year,Bank transfer (automatic),0
1,89.75,89.75,Month-to-month,Bank transfer (automatic),1
21,65.26,1370.46,Month-to-month,Credit card (automatic),0
23,31.14,716.22,One year,Bank transfer (automatic),0
14,80.23,1123.22,One year,Credit card (automatic),1
1,51.78,51.78,Month-to-month,Credit card (automatic),0
25,90.06,2251.5,Two year,Credit card (automatic),0
12,100.21,1202.52,One year,Mailed check,1
14,44.74,626.36,One year,Electronic check,1
15,44.88,673.2,Month-to-month,Electronic check,0
10,22.25,222.5,Month-to-month,Credit card (automatic),0
16,117.15,1874.4,Month-to-month,Electronic check,1
22,44.48,978.56,Month-to-month,Mailed check,1
46,62.0,2852.0,Two year,Electronic check,1
16,112.53,1800.48,Month-to-month,Mailed check,1
68,118.22,8038.96,Two year,Electronic check,0
15,57.71,865.65,One year,Electronic check,0
4,104.02,416.08,Month-to-month,Electronic check,1
23,106.55,2450.65,Month-to-month,Electronic check,1
18,46.26,832.68,Month-to-month,Electronic check,0
60,80.77,4846.2,Two year,Electronic check,1
24,91.55,2197.2,Month-to-month,Electronic check,1
72,50.91,3665.52,Two year,Bank transfer (automatic),0
9,49.42,444.78,Month-to-month,Bank transfer (automatic),0
24,75.46,1811.04,One year,Electronic check,1
4,75.2,300.8,Month-to-month,Electronic check,1
50,66.37,3318.5,Two year,Credit card (automatic),0
38,30.86,1172.68,Two year,Electronic check,0
8,106.18,849.44,Month-to-month,Credit card (automatic),0
23,96.56,2220.88,Month-to-month,Bank transfer (automatic),0
4,78.49,313.96,Month-to-month,Bank transfer (automatic),1
20,85.68,1713.6,One year,Credit card (automatic),0
22,72.73,1600.06,Month-to-month,Credit card (automatic),1
14,43.04,602.56,One year,Mailed check,1
10,61.56,615.6,Month-to-month,Mailed check,0
19,110.48,2099.12,One year,Credit card (automatic),0
12,46.41,556.92,Month-to-month,Bank transfer (automatic),0
23,46.63,1072.49,Month-to-month,Credit card (automatic),1
13,41.57,540.41,One year,Electronic check,0
11,87.74,965.14,Month-to-month,Mailed check,1
20,89.4,1788.0,One year,Electronic check,1
8,26.87,214.96,Month-to-month,Mailed check,0
20,57.35,1147.0,One year,Electronic check,0
44,95.58,4205.52,Two year,Mailed check,0
21,68.29,1434.09,One year,Credit card (automatic),0
11,98.29,1081.19,Month-to-month,Bank transfer (automatic),1
9,108.45,976.05,Month-to-month,Bank transfer (automatic),1
7,113.41,793.87,Month-to-month,Bank transfer (automatic),1
37,53.8,1990.6,Two year,Bank transfer (automatic),0
12,98.0,1176.0,Month-to-month,Credit card (automatic),0
18,66.49,1196.82,Month-to-month,Bank transfer (automatic),0
4,71.48,285.92,Month-to-month,Electronic check,1
66,79.22,5228.52,Two year,Electronic check,0
20,71.03,1420.6,Month-to-month,Electronic check,1
13,100.06,1300.78,One year,Electronic check,0
37,38.05,1407.85,Two year,Electronic check,0
10,106.79,1067.9,Month-to-month,Credit card (automatic),1
16,58.71,939.36,Month-to-month,Credit card (automatic),0
10,44.64,446.4,Month-to-month,Credit card (automatic),1
4,109.03,436.12,Month-to-month,Electronic check,1
41,113.0,4633.0,Two year,Mailed check,0
15,31.88,478.2,Month-to-month,Bank transfer (automatic),0
23,104.96,2414.08,One year,Mailed check,1
23,33.62,773.26,One year,Electronic check,0
71,81.91,5815.61,Two year,Mailed check,0
26,35.41,920.66,Two year,Mailed check,1
44,91.71,4035.24,Two year,Mailed check,0
20,43.08,861.6,One year,Bank transfer (automatic),1
10,74.0,740.0,Month-to-month,Electronic check,1
8,40.19,321.52,Month-to-month,Electronic check,1
8,47.43,379.44,Month-to-month,Bank transfer (automatic),1
0,102.78,0.0,Month-to-month,Bank transfer (automatic),0
18,89.09,1603.62,Month-to-month,Credit card (automatic),0
19,56.21,1067.99,One year,Electronic check,1
16,27.79,444.64,One year,Bank transfer (automatic),0
22,28.23,621.06,One year,Electronic check,0
24,86.64,2079.36,One year,Electronic check,1
21,66.54,1397.34,One year,Electronic check,1
10,77.4,774.0,Month-to-month,Mailed check,1
23,80.5,1851.5,Month-to-month,Electronic check,1
16,40.71,651.36,One year,Bank transfer (automatic),0
3,52.3,156.9,Month-to-month,Bank transfer (automatic),1
23,18.27,420.21,One year,Credit card (automatic),0
12,67.66,811.92,One year,Credit card (automatic),0
13,53.27,692.51,One year,Electronic check,1
1,85.73,85.73,Month-to-month,Electronic check,1
53,64.4,3413.2,Two year,Bank transfer (automatic),0
7,85.65,599.55,Month-to-month,Credit card (automatic),0
19,31.62,600.78,One year,Bank transfer (automatic),0
10,58.93,589.3,Month-to-month,Credit card (automatic),1
23,82.66,1901.18,Month-to-month,Bank transfer (automatic),1
20,56.16,1123.2,Month-to-month,Electronic check,1
14,72.71,1017.94,One year,Electronic check,0
24,86.76,2082.24,Month-to-month,Electronic check,1
71,78.98,5607.58,Two year,Electronic check,0
20,59.7,1194.0,Month-to-month,Mailed check,1
24,110.73,2657.52,One year,Credit card (automatic),0
5,42.31,211.55,Month-to-month,Electronic check,1
16,63.29,1012.64,One year,Credit card (automatic),0
18,119.7,2154.6,Month-to-month,Electronic check,1
19,86.28,1639.32,One year,Electronic check,1
39,117.37,4577.43,Two year,Credit card (automatic),1
10,119.46,1194.6,Month-to-month,Electronic check,1
11,90.82,999.02,Month-to-month,Credit card (automatic),1
19,102.11,1940.09,Month-to-month,Electronic check,1
21,21.19,444.99,Month-to-month,Electronic check,0
12,113.89,1366.68,One year,Mailed check,1
26,67.87,1764.62,Two year,Electronic check,0
17,50.01,850.17,One year,Credit card (automatic),1
71,99.41,7058.11,Two year,Electronic check,0
24,98.73,2369.52,One year,Bank transfer (automatic),0
11,119.82,1318.02,Month-to-month,Bank transfer (automatic),0
21,99.15,2082.15,Month-to-month,Electronic check,1
12,64.35,772.2,One year,Electronic check,1
2,116.64,233.28,Month-to-month,Electronic check,1
6,80.43,482.58,Month-to-month,Electronic check,1
9,34.83,313.47,Month-to-month,Bank transfer (automatic),0
49,104.81,5135.69,Two year,Electronic check,0
23,75.91,1745.93,Month-to-month,Bank transfer (automatic),1
68,45.34,3083.12,Two year,Electronic check,0
21,19.12,401.52,Month-to-month,Bank transfer (automatic),1
11,96.97,1066.67,Month-to-month,Bank transfer (automatic),1
12,102.08,1224.96,Month-to-month,Credit card (automatic),1
66,60.34,3982.44,Two year,Electronic check,0
8,90.17,721.36,Month-to-month,Bank transfer (automatic),0
24,71.36,1712.64,Month-to-month,Mailed check,1
14,86.57,1211.98,One year,Electronic check,0
40,81.92,3276.8,Two year,Electronic check,1
29,112.17,3252.93,Two year,Credit card (automatic),0
24,117.8,2827.2,One year,Mailed check,0
49,117.63,5763.87,Two year,Credit card (automatic),0
20,45.83,916.6,Month-to-month,Electronic check,0
22,101.54,2233.88,One year,Electronic check,1
30,99.32,2979.6,Two year,Electronic check,0
23,52.95,1217.85,One year,Bank transfer (automatic),0
25,88.09,2202.25,Two year,Electronic check,1
20,73.07,1461.4,Month-to-month,Credit card (automatic),0
23,61.74,1420.02,Month-to-month,Credit card (automatic),1
8,105.92,847.36,Month-to-month,Bank transfer (automatic),0
5,20.85,104.25,Month-to-month,Bank transfer (automatic),1
15,51.01,765.15,One year,Electronic check,0
52,35.24,1832.48,Two year,Electronic check,0
16,67.13,1074.08,Month-to-month,Electronic check,1
54,22.71,1226.34,Two year,Mailed check,0
54,62.42,3370.68,Two year,Bank transfer (automatic),0
4,93.53,374.12,Month-to-month,Mailed check,1
22,103.51,2277.22,Month-to-month,Bank transfer (automatic),1
4,22.26,89.04,Month-to-month,Electronic check,1
27,84.99,2294.73,Two year,Mailed check,1
1,41.07,41.07,Month-to-month,Bank transfer (automatic),0
20,51.51,1030.2,Month-to-month,Credit card (automatic),1
13,78.06,1014.78,One year,Mailed check,1
21,94.78,1990.38,Month-to-month,Bank transfer (automatic),1
8,99.2,793.6,Month-to-month,Credit card (automatic),1
72,67.63,4869.36,Two year,Bank transfer (automatic),0
21,119.8,2515.8,Month-to-month,Electronic check,1
13,74.34,966.42,One year,Bank transfer (automatic),0
6,58.5,351.0,Month-to-month,Bank transfer (automatic),1
12,65.16,781.92,One year,Mailed check,1
28,79.03,2212.84,Two year,Credit card (automatic),0
10,115.17,1151.7,Month-to-month,Electronic check,1
13,76.28,991.64,Month-to-month,Electronic check,0
14,55.42,775.88,Month-to-month,Bank transfer (automatic),1
19,41.65,791.35,Month-to-month,Credit card (automatic),0
16,102.41,1638.56,Month-to-month,Electronic check,1
24,59.64,1431.36,Two year,Bank transfer (automatic),0
29,66.96,1941.84,Two year,Electronic check,0
24,88.41,2121.84,Month-to-month,Bank transfer (automatic),1
2,49.03,98.06,Month-to-month,Electronic check,0
20,42.94,858.8,One year,Electronic check,1
20,77.46,1549.2,Month-to-month,Mailed check,1
17,100.42,1707.14,One year,Credit card (automatic),0
15,26.31,394.65,Month-to-month,Mailed check,1
13,69.03,897.39,Month-to-month,Electronic check,0
32,43.87,1403.84,Two year,Electronic check,0
12,43.84,526.08,Month-to-month,Electronic check,0
21,50.72,1065.12,One year,Bank transfer (automatic),0
24,74.85,1796.4,Month-to-month,Electronic check,1
21,62.43,1311.03,Month-to-month,Mailed check,1
10,114.06,1140.6,Month-to-month,Electronic check,1
23,64.41,1481.43,One year,Bank transfer (automatic),0
64,95.78,6129.92,Two year,Credit card (automatic),0
8,77.17,617.36,Month-to-month,Electronic check,1
45,111.07,4998.15,Two year,Bank transfer (automatic),0
45,29.86,1343.7,Two year,Electronic check,1
1,77.84,77.84,Month-to-month,Credit card (automatic),0
37,104.06,3850.22,Two year,Bank transfer (automatic),0
45,104.2,4689.0,Two year,Mailed check,1
18,108.88,1959.84,Month-to-month,Bank transfer (automatic),1
24,66.69,1600.56,One year,Credit card (automatic),0
18,66.21,1191.78,Month-to-month,Electronic check,1
23,53.81,1237.63,Month-to-month,Electronic check,1
14,33.47,468.58,Month-to-month,Bank transfer (automatic),1
17,45.37,771.29,One year,Electronic check,0
0,80.1,0.0,Month-to-month,Electronic check,1
17,93.65,1592.05,One year,Mailed check,1
23,78.94,1815.62,Month-to-month,Bank transfer (automatic),0
50,24.9,1245.0,Two year,Bank transfer (automatic),0
54,21.44,1157.76,Two year,Credit card (automatic),0
14,62.78,878.92,Month-to-month,Mailed check,1
18,75.63,1361.34,Month-to-month,Bank transfer (automatic),0
14,78.1,1093.4,Month-to-month,Electronic check,0
28,86.35,2417.8,Two year,Credit card (automatic),1
46,30.57,1406.22,Two year,Bank transfer (automatic),0
1,59.5,59.5,Month-to-month,Electronic check,0
15,34.72,520.8,One year,Electronic check,1
33,40.0,1320.0,Two year,Electronic check,0
0,98.32,0.0,Month-to-month,Electronic check,1
48,75.73,3635.04,Two year,Credit card (automatic),0
12,58.68,704.16,One year,Bank transfer (automatic),0
17,107.76,1831.92,Month-to-month,Electronic check,1
4,69.6,278.4,Month-to-month,Electronic check,1
24,57.02,1368.48,One year,Electronic check,0
17,52.31,889.27,Month-to-month,Credit card (automatic),0
13,29.88,388.44,One year,Electronic check,0
24,19.0,456.0,One year,Credit card (automatic),1
4,72.0,288.0,Month-to-month,Electronic check,1
24,119.32,2863.68,Month-to-month,Mailed check,0
15,74.83,1122.45,Month-to-month,Credit card (automatic),0
14,73.52,1029.28,Month-to-month,Mailed check,1
18,115.0,2070.0,Month-to-month,Electronic check,1
15,21.49,322.35,Month-to-month,Electronic check,0
17,75.14,1277.38,One year,Bank transfer (automatic),0
60,85.51,5130.6,Two year,Credit card (automatic),0
15,34.27,514.05,Month-to-month,Mailed check,0
22,25.78,567.16,Month-to-month,Credit card (automatic),0
50,35.72,1786.0,Two year,Bank transfer (automatic),0
12,49.59,595.08,Month-to-month,Bank transfer (automatic),1
5,73.27,366.35,Month-to-month,Electronic check,1
2,89.56,179.12,Month-to-month,Electronic check,1
2,33.31,66.62,Month-to-month,Electronic check,1
22,94.72,2083.84,One year,Bank transfer (automatic),1
47,114.61,5386.67,Two year,Mailed check,1
4,85.17,340.68,Month-to-month,Mailed check,1
12,60.34,724.08,Month-to-month,Credit card (automatic),0
24,27.96,671.04,Month-to-month,Bank transfer (automatic),1
16,46.13,738.08,One year,Bank transfer (automatic),0
1,67.09,67.09,Month-to-month,Bank transfer (automatic),0
6,38.57,231.42,Month-to-month,Bank transfer (automatic),1
4,110.01,440.04,Month-to-month,Credit card (automatic),1
20,19.07,381.4,Month-to-month,Mailed check,1
14,117.74,1648.36,Month-to-month,Electronic check,1
8,93.64,749.12,Month-to-month,Mailed check,1
20,64.95,1299.0,Month-to-month,Electronic check,1
13,68.63,892.19,Month-to-month,Electronic check,0
25,80.98,2024.5,Two year,Bank transfer (automatic),0
20,33.78,675.6,One year,Electronic check,0
22,33.24,731.28,Month-to-month,Electronic check,1
60,84.04,5042.4,Two year,Credit card (automatic),0
5,78.53,392.65,Month-to-month,Electronic check,1
11,111.28,1224.08,Month-to-month,Credit card (automatic),0
19,83.88,1593.72,Month-to-month,Credit card (automatic),1
24,65.6,1574.4,One year,Credit card (automatic),0
3,119.48,358.44,Month-to-month,Bank transfer (automatic),0
53,102.33,5423.49,Two year,Electronic check,0
19,26.13,496.47,Month-to-month,Electronic check,0
9,84.62,761.58,Month-to-month,Electronic check,0
70,63.85,4469.5,Two year,Credit card (automatic),0
19,66.96,1272.24,One year,Bank transfer (automatic),0
9,38.15,343.35,Month-to-month,Electronic check,0
53,70.93,3759.29,Two year,Bank transfer (automatic),0
54,29.25,1579.5,Two year,Mailed check,0
15,109.22,1638.3,One year,Credit card (automatic),0
21,111.41,2339.61,One year,Credit card (automatic),1
58,84.02,4873.16,Two year,Electronic check,0
13,116.02,1508.26,Month-to-month,Mailed check,1
12,79.34,952.08,One year,Bank transfer (automatic),0
13,31.0,403.0,Month-to-month,Electronic check,0
22,103.0,2266.0,Month-to-month,Bank transfer (automatic),1
1,40.52,40.52,Month-to-month,Electronic check,1
2,91.22,182.44,Month-to-month,Bank transfer (automatic),1
30,87.23,2616.9,Two year,Credit card (automatic),0
3,94.72,284.16,Month-to-month,Credit card (automatic),1
2,44.38,88.76,Month-to-month,Electronic check,0
0,107.64,0.0,Month-to-month,Bank transfer (automatic),1
19,99.31,1886.89,Month-to-month,Electronic check,1
23,45.84,1054.32,Month-to-month,Mailed check,0
20,42.72,854.4,Month-to-month,Bank transfer (automatic),0
21,60.56,1271.76,One year,Bank transfer (automatic),0
24,113.29,2718.96,One year,Credit card (automatic),0
5,34.95,174.75,Month-to-month,Bank transfer (automatic),0
23,97.5,2242.5,Month-to-month,Electronic check,1
4,79.72,318.88,Month-to-month,Bank transfer (automatic),1
1,62.1,62.1,Month-to-month,Credit card (automatic),0
20,49.8,996.0,Month-to-month,Credit card (automatic),1
23,89.98,2069.54,Month-to-month,Electronic check,1
16,35.96,575.36,One year,Electronic check,1
4,91.86,367.44,Month-to-month,Mailed check,1
17,100.77,1713.09,One year,Mailed check,1
16,115.51,1848.16,One year,Bank transfer (automatic),0
10,105.07,1050.7,Month-to-month,Electronic check,1
24,119.12,2858.88,One year,Credit card (automatic),1
7,52.11,364.77,Month-to-month,Bank transfer (automatic),1
30,108.98,3269.4,Two year,Credit card (automatic),0
45,43.35,1950.75,Two year,Electronic check,0
15,61.16,917.4,One year,Electronic check,1
15,113.21,1698.15,Month-to-month,Electronic check,1
23,101.53,2335.19,One year,Mailed check,1
10,111.42,1114.2,Month-to-month,Electronic check,1
10,27.78,277.8,Month-to-month,Credit card (automatic),1
17,51.08,868.36,One year,Mailed check,0
8,82.67,661.36,Month-to-month,Bank transfer (automatic),0
20,101.42,2028.4,Month-to-month,Electronic check,1
28,26.03,728.84,Two year,Mailed check,0
2,31.42,62.84,Month-to-month,Mailed check,1
55,96.61,5313.55,Two year,Electronic check,1
23,117.32,2698.36,Month-to-month,Electronic check,1
7,92.38,646.66,Month-to-month,Bank transfer (automatic),1
28,80.88,2264.64,Two year,Credit card (automatic),0
24,50.03,1200.72,Month-to-month,Bank transfer (automatic),0
13,99.35,1291.55,Month-to-month,Credit card (automatic),1
8,59.78,478.24,Month-to-month,Bank transfer (automatic),1
18,31.68,570.24,One year,Electronic check,0
22,55.2,1214.4,One year,Credit card (automatic),0
0,107.15,0.0,Month-to-month,Electronic check,1
1,47.49,47.49,Month-to-month,Electronic check,1
20,100.48,2009.6,One year,Bank transfer (automatic),0
2,49.22,98.44,Month-to-month,Mailed check,1
20,22.29,445.8,One year,Mailed check,0
9,96.06,864.54,Month-to-month,Electronic check,1
6,79.19,475.14,Month-to-month,Electronic check,1
3,72.87,218.61,Month-to-month,Mailed check,1
12,84.96,1019.52,Month-to-month,Credit card (automatic),1
13,116.62,1516.06,Month-to-month,Mailed check,1
16,101.36,1621.76,Month-to-month,Mailed check,1
11,82.03,902.33,Month-to-month,Bank transfer (automatic),0
24,74.79,1794.96,Month-to-month,Credit card (automatic),0
1,19.23,19.23,Month-to-month,Electronic check,0
12,91.85,1102.2,One year,Electronic check,0
9,63.64,572.76,Month-to-month,Bank transfer (automatic),0
9,19.81,178.29,Month-to-month,Mailed check,1
12,115.86,1390.32,One year,Bank transfer (automatic),1
20,95.54,1910.8,One year,Bank transfer (automatic),0
65,44.04,2862.6,Two year,Mailed check,0
19,108.95,2070.05,One year,Electronic check,1
13,56.65,736.45,Month-to-month,Bank transfer (automatic),1
17,52.44,891.48,Month-to-month,Mailed check,1
11,61.97,681.67,Month-to-month,Mailed check,1
18,39.14,704.52,One year,Mailed check,1
27,111.44,3008.88,Two year,Electronic check,0
0,91.42,0.0,Month-to-month,Credit card (automatic),1
13,51.79,673.27,Month-to-month,Credit card (automatic),0
15,67.18,1007.7,Month-to-month,Mailed check,1
19,88.13,1674.47,One year,Electronic check,1
18,28.99,521.82,One year,Electronic check,1
3,32.64,97.92,Month-to-month,Electronic check,1
9,52.38,471.42,Month-to-month,Mailed check,1
18,119.24,2146.32,Month-to-month,Electronic check,1
21,77.79,1633.59,One year,Electronic check,0
12,82.37,988.44,Month-to-month,Credit card (automatic),1
12,27.93,335.16,Month-to-month,Electronic check,1
9,43.37,390.33,Month-to-month,Credit card (automatic),1
21,26.11,548.31,One year,Electronic check,1
7,118.56,829.92,Month-to-month,Electronic check,1
52,119.14,6195.28,Two year,Electronic check,0
16,60.16,962.56,One year,Electronic check,1
6,54.64,327.84,Month-to-month,Mailed check,1
45,33.83,1522.35,Two year,Electronic check,0
14,30.99,433.86,One year,Electronic check,1
1,55.97,55.97,Month-to-month,Credit card (automatic),0
3,36.81,110.43,Month-to-month,Credit card (automatic),1
1,102.26,102.26,Month-to-month,Bank transfer (automatic),1
24,105.93,2542.32,Month-to-month,Bank transfer (automatic),0
12,62.0,744.0,Month-to-month,Electronic check,1
37,77.07,2851.59,Two year,Credit card (automatic),0
19,82.76,1572.44,One year,Bank transfer (automatic),1
18,26.46,476.28,One year,Credit card (automatic),1
17,100.65,1711.05,Month-to-month,Electronic check,1
0,32.76,0.0,Month-to-month,Electronic check,1
8,72.74,581.92,Month-to-month,Bank transfer (automatic),0
14,41.94,587.16,Month-to-month,Electronic check,1
2,103.44,206.88,Month-to-month,Electronic check,1
33,56.79,1874.07,Two year,Electronic check,0
16,98.37,1573.92,One year,Electronic check,0
0,57.09,0.0,Month-to-month,Bank transfer (automatic),1
2,107.08,214.16,Month-to-month,Credit card (automatic),1
21,100.03,2100.63,One year,Credit card (automatic),0
18,115.55,2079.9,One year,Credit card (automatic),0
15,59.74,896.1,Month-to-month,Electronic check,1
12,40.49,485.88,One year,Electronic check,1
16,28.57,457.12,Month-to-month,Bank transfer (automatic),0
30,49.83,1494.9,Two year,Bank transfer (automatic),0
22,41.61,915.42,Month-to-month,Electronic check,1
21,18.23,382.83,Month-to-month,Credit card (automatic),1
0,76.4,0.0,Month-to-month,Mailed check,1
12,64.23,770.76,Month-to-month,Credit card (automatic),1
37,25.06,927.22,Two year,Mailed check,0
24,110.86,2660.64,Month-to-month,Credit card (automatic),1
4,64.69,258.76,Month-to-month,Credit card (automatic),0
1,64.41,64.41,Month-to-month,Electronic check,1
14,45.08,631.12,Month-to-month,Credit card (automatic),0
20,63.88,1277.6,One year,Credit card (automatic),0
22,41.33,909.26,Month-to-month,Bank transfer (automatic),0
35,101.21,3542.35,Two year,Electronic check,0
12,19.73,236.76,Month-to-month,Electronic check,1
15,113.91,1708.65,One year,Mailed check,0
18,42.63,767.34,One year,Electronic check,0
17,79.46,1350.82,Month-to-month,Electronic check,1
5,50.86,254.3,Month-to-month,Credit card (automatic),1
1,46.65,46.65,Month-to-month,Electronic check,1
9,107.44,966.96,Month-to-month,Mailed check,1
20,78.28,1565.6,One year,Bank transfer (automatic),0
20,43.14,862.8,Month-to-month,Mailed check,0
14,99.39,1391.46,Month-to-month,Electronic check,1
24,105.89,2541.36,Month-to-month,Mailed check,1
19,38.12,724.28,Month-to-month,Credit card (automatic),1
57,28.53,1626.21,Two year,Electronic check,0
22,95.41,2099.02,Month-to-month,Electronic check,1
25,35.36,884.0,Two year,Electronic check,1
11,52.09,572.99,Month-to-month,Electronic check,1
7,85.89,601.23,Month-to-month,Electronic check,1
23,112.41,2585.43,One year,Bank transfer (automatic),1
3,66.96,200.88,Month-to-month,Bank transfer (automatic),0
47,42.87,2014.89,Two year,Bank transfer (automatic),0
63,88.86,5598.18,Two year,Electronic check,0
11,39.87,438.57,Month-to-month,Bank transfer (automatic),1
15,84.05,1260.75,Month-to-month,Bank transfer (automatic),1
18,106.64,1919.52,Month-to-month,Mailed check,1
20,68.52,1370.4,One year,Electronic check,0
71,100.8,7156.8,Two year,Electronic check,0
45,116.91,5260.95,Two year,Mailed check,1
22,100.83,2218.26,One year,Credit card (automatic),0
13,119.09,1548.17,One year,Electronic check,0
3,109.24,327.72,Month-to-month,Electronic check,1
12,61.9,742.8,One year,Mailed check,1
15,102.13,1531.95,One year,Electronic check,1
3,57.64,172.92,Month-to-month,Credit card (automatic),1
17,80.46,1367.82,Month-to-month,Credit card (automatic),0
9,58.87,529.83,Month-to-month,Electronic check,0
0,28.37,0.0,Month-to-month,Bank transfer (automatic),1
47,67.57,3175.79,Two year,Bank transfer (automatic),0
8,85.46,683.68,Month-to-month,Bank transfer (automatic),1
58,118.53,6874.74,Two year,Electronic check,0
17,50.86,864.62,One year,Credit card (automatic),0
25,81.36,2034.0,Two year,Electronic check,1
66,26.18,1727.88,Two year,Electronic check,0
71,23.65,1679.15,Two year,Bank transfer (automatic),0
18,64.89,1168.02,Month-to-month,Mailed check,1
23,81.6,1876.8,One year,Credit card (automatic),0
7,18.12,126.84,Month-to-month,Electronic check,1
24,37.71,905.04,One year,Electronic check,0
21,81.7,1715.7,One year,Mailed check,0
23,101.63,2337.49,One year,Credit card (automatic),0
6,25.5,153.0,Month-to-month,Electronic check,1
21,108.67,2282.07,Month-to-month,Electronic check,0
50,105.32,5266.0,Two year,Electronic check,0
28,79.8,2234.4,Two year,Bank transfer (automatic),0
17,31.89,542.13,Month-to-month,Credit card (automatic),1
16,92.18,1474.88,Month-to-month,Bank transfer (automatic),1
2,83.08,166.16,Month-to-month,Mailed check,1
14,37.34,522.76,One year,Credit card (automatic),0
19,42.35,804.65,Month-to-month,Bank transfer (automatic),1
18,24.74,445.32,Month-to-month,Bank transfer (automatic),0
7,33.03,231.21,Month-to-month,Electronic check,1
23,41.27,949.21,One year,Bank transfer (automatic),1
17,33.22,564.74,Month-to-month,Credit card (automatic),0
30,35.83,1074.9,Two year,Credit card (automatic),0
19,104.26,1980.94,Month-to-month,Bank transfer (automatic),1
35,49.93,1747.55,Two year,Electronic check,0
9,87.75,789.75,Month-to-month,Electronic check,1
71,82.24,5839.04,Two year,Credit card (automatic),0
13,106.96,1390.48,One year,Mailed check,0
7,40.52,283.64,Month-to-month,Credit card (automatic),1
0,50.69,0.0,Month-to-month,Bank transfer (automatic),1
22,53.47,1176.34,Month-to-month,Electronic check,1
22,110.8,2437.6,One year,Electronic check,0
15,112.77,1691.55,Month-to-month,Mailed check,1
